Date,Open($),High($),Low($),Close ($),VWAP($),Change($),Change(%),Volume,Trade_Value,#Trades
"Feb 28, 2023 12:00 AM",147.05,149.08,146.83,147.41,147.781,-0.51,-0.345,50546998,7472129110,384720
"Feb 27, 2023 12:00 AM",147.71,149.17,147.45,147.92,148.128,1.21,0.825,44998470,6664152970,418313
"Feb 24, 2023 12:00 AM",147.11,147.19,145.72,146.71,146.364,-2.69,-1.801,55469606,8118503560,472746
"Feb 23, 2023 12:00 AM",150.09,150.34,147.24,149.4,148.849,0.49,0.329,48394249,7201709580,425843
"Feb 22, 2023 12:00 AM",148.87,149.95,147.16,148.91,148.537,0.43,0.29,51011305,7591853660,430701
"Feb 21, 2023 12:00 AM",150.2,151.3,148.405,148.48,149.333,-4.07,-2.668,58867230,9666252790,509584
"Feb 17, 2023 12:00 AM",152.35,153,150.85,152.55,152.042,-1.16,-0.755,59144118,8999060290,469275
"Feb 16, 2023 12:00 AM",153.51,156.33,153.348,153.71,154.747,-1.62,-1.043,68167942,10545252900,517277
"Feb 15, 2023 12:00 AM",153.11,155.5,152.88,155.33,154.522,2.13,1.39,65669252,10141924000,521330
"Feb 14, 2023 12:00 AM",152.12,153.77,150.86,153.2,152.548,-0.65,-0.422,61707573,9415474670,529274
"Feb 13, 2023 12:00 AM",150.952,154.26,150.92,153.85,153.237,2.84,1.881,62199013,9529020040,506788
"Feb 10, 2023 12:00 AM",149.46,151.34,149.22,151.01,150.43,0.14,0.093,57450708,8655962460,443744
"Feb 9, 2023 12:00 AM",153.775,154.33,150.42,150.87,152.26,-1.05,-0.691,56007143,8533555730,472334
"Feb 8, 2023 12:00 AM",153.88,154.58,151.168,151.92,152.341,-2.73,-1.765,64120079,9772265270,524761
"Feb 7, 2023 12:00 AM",150.64,155.23,150.64,154.65,153.507,2.92,1.924,83322551,12778246700,662156
"Feb 6, 2023 12:00 AM",152.575,153.1,150.78,151.73,151.998,-2.77,-1.793,69858306,10629508200,584107
"Feb 3, 2023 12:00 AM",148.03,157.38,147.83,154.5,154.447,3.68,2.44,154357337,23776662800,1142329
"Feb 2, 2023 12:00 AM",148.9,151.18,148.17,150.82,149.371,5.39,3.706,118338980,17659078300,996661
"Feb 1, 2023 12:00 AM",143.97,146.61,141.32,145.43,143.897,1.14,0.79,77663633,11170254000,693679
"Jan 31, 2023 12:00 AM",142.7,144.34,142.28,144.29,143.67,1.29,0.902,65874459,9461472680,468535
"Jan 30, 2023 12:00 AM",144.955,145.55,142.85,143,143.623,-2.93,-2.008,64015274,9194050190,551376
"Jan 27, 2023 12:00 AM",143.155,147.23,143.08,145.93,145.821,1.97,1.368,70555843,10289441700,560314
"Jan 26, 2023 12:00 AM",143.17,144.25,141.9,143.96,143.338,2.1,1.48,54105068,7754739450,472449
"Jan 25, 2023 12:00 AM",140.89,142.43,138.81,141.86,140.73,-0.67,-0.47,65799349,9261102370,536907
"Jan 24, 2023 12:00 AM",140.305,143.16,140.3,142.53,142.164,1.42,1.006,66435142,9435536310,499030
"Jan 23, 2023 12:00 AM",138.12,143.315,137.9,141.11,141.229,3.24,2.35,81760313,11573432700,719471
"Jan 20, 2023 12:00 AM",135.28,138.02,134.22,137.87,136.397,2.6,1.922,80223626,10938017300,552527
"Jan 19, 2023 12:00 AM",134.08,136.25,133.77,135.27,134.969,0.06,0.044,58280413,7866964460,493875
"Jan 18, 2023 12:00 AM",136.815,138.61,135.03,135.21,136.309,-0.73,-0.537,69672800,9499202110,578671
"Jan 17, 2023 12:00 AM",134.83,137.29,134.13,135.94,135.763,1.18,0.876,63646627,8638194870,596002
"Jan 13, 2023 12:00 AM",132.03,134.92,131.66,134.76,133.696,1.35,1.012,57809719,7726019960,537680
"Jan 12, 2023 12:00 AM",133.88,134.26,131.44,133.41,133.148,-0.08,-0.06,71379648,9503552130,635564
"Jan 11, 2023 12:00 AM",131.25,133.51,130.46,133.49,132.332,2.76,2.111,69458949,9194837480,561600
"Jan 10, 2023 12:00 AM",130.26,131.264,128.12,130.73,129.811,0.58,0.446,63896155,8293774420,555327
"Jan 9, 2023 12:00 AM",130.465,133.41,129.89,130.15,131.601,0.53,0.409,70790813,9323064590,645643
"Jan 6, 2023 12:00 AM",126.01,130.29,124.89,129.62,128.262,4.6,3.679,87754715,11246836100,711869
"Jan 5, 2023 12:00 AM",127.13,127.77,124.76,125.02,126.043,-1.34,-1.06,80962708,10236572900,665807
"Jan 4, 2023 12:00 AM",126.89,128.656,125.08,126.36,126.631,1.29,1.031,89113633,11282679900,770756
"Jan 3, 2023 12:00 AM",130.28,130.9,124.17,125.07,125.656,-4.86,-3.74,112117471,14087909100,1021450
"Dec 30, 2022 12:00 AM",128.41,129.95,127.43,129.93,128.806,0.32,0.247,77034209,9919743570,593026
"Dec 29, 2022 12:00 AM",127.99,130.481,127.73,129.61,129.508,3.57,2.832,75703710,9796473380,644650
"Dec 28, 2022 12:00 AM",129.67,131.028,125.87,126.04,127.567,-3.99,-3.069,85438391,10905097600,762849
"Dec 27, 2022 12:00 AM",131.38,131.41,128.72,130.03,129.914,-1.83,-1.388,69007830,9013306370,608517
"Dec 23, 2022 12:00 AM",130.92,132.415,129.64,131.86,131.138,-0.37,-0.28,63814893,8367668840,541784
"Dec 22, 2022 12:00 AM",134.352,134.56,130.3,132.23,131.848,-3.22,-2.377,77852108,10281769900,643610
